Price,Close,High,Low,Open,Volume
Ticker,AEMD,AEMD,AEMD,AEMD,AEMD
Date,,,,,
2018-07-17,196.5,207.0,190.5,193.5,2967
2018-07-18,193.5,195.0,192.0,193.5,330
2018-07-19,192.0,195.0,190.5,193.5,111
2018-07-20,193.5,195.0,190.5,190.5,321
2018-07-23,196.5,202.5,193.5,202.5,616
2018-07-24,193.5,202.5,193.5,196.5,322
2018-07-25,193.5,195.0,192.0,193.5,165
2018-07-26,192.0,195.0,186.0,193.5,568
2018-07-27,190.5,193.5,184.5,187.5,282
2018-07-30,184.5,193.5,184.5,190.5,677
2018-07-31,184.5,192.0,184.5,192.0,1083
2018-08-01,183.0,192.0,183.0,187.5,203
2018-08-02,183.0,187.5,180.0,184.5,383
2018-08-03,180.0,187.5,178.5,181.5,1140
2018-08-06,183.0,184.5,180.0,180.0,365
2018-08-07,184.5,187.5,181.5,187.5,269
2018-08-08,187.5,190.5,180.0,187.5,503
2018-08-09,180.0,187.5,175.5,181.5,984
2018-08-10,172.5,180.0,166.5,180.0,1907
2018-08-13,172.5,186.0,168.0,175.5,487
2018-08-14,174.0,174.0,169.5,174.0,160
2018-08-15,168.0,174.0,168.0,174.0,324
2018-08-16,165.0,171.0,163.5,171.0,324
2018-08-17,165.0,169.5,163.5,168.0,225
2018-08-20,165.0,165.0,160.5,160.5,231
2018-08-21,163.5,169.5,162.0,162.0,298
2018-08-22,165.0,165.0,163.5,163.5,237
2018-08-23,162.0,165.0,160.5,165.0,408
2018-08-24,160.5,162.0,159.0,159.0,499
2018-08-27,159.0,163.5,157.5,159.0,747
2018-08-28,157.5,162.0,157.5,159.0,344
2018-08-29,150.0,162.0,150.0,157.5,1573
2018-08-30,139.5,153.0,123.0,150.0,2138
2018-08-31,145.5,151.5,136.5,136.5,493
2018-09-04,153.0,153.0,138.0,144.0,381
2018-09-05,153.0,157.5,151.5,156.0,373
2018-09-06,157.5,159.0,147.0,151.5,1383
2018-09-07,153.0,157.5,148.5,157.5,815
2018-09-10,151.5,160.5,148.5,160.5,447
2018-09-11,151.5,156.0,148.5,150.0,341
2018-09-12,151.5,154.5,148.5,151.5,111
